Time, Moving Output, Moving Baseline
0.266667,0.0778256,0.0931558
0.466667,0.0660577,0.0895584
0.6,0.0598499,0.0856019
0.866667,0.066444,0.0849308
1,0.0642395,0.0852195
1.26667,0.0505909,0.0701039
1.4,0.0494282,0.0613599
1.66667,0.0521087,0.0626007
1.8,0.0516561,0.0644463
2.06667,0.0593076,0.0677082
2.2,0.0638415,0.0745793
2.46667,0.0701078,0.0787776
2.6,0.0707906,0.0827302
2.86667,0.0706346,0.0811929
3,0.0685198,0.0794292
3.26667,0.0697254,0.0832023
3.4,0.0631587,0.0778607
3.66667,0.0651642,0.0790547
3.8,0.0616643,0.0856136
4.06667,0.0719026,0.0917239
4.2,0.0745988,0.0932261
4.46667,0.0529437,0.0718675
4.6,0.0455303,0.0657261
4.86667,0.0464394,0.0588277
5,0.0500135,0.0659173
5.26667,0.0506299,0.0650823
5.4,0.0513908,0.0633069
5.66667,0.0540831,0.0701663
5.8,0.0516288,0.0796516
6.06667,0.0731902,0.0986145
6.2,0.0818172,0.113781
6.46667,0.0871119,0.123957
6.6,0.0869051,0.109536
6.86667,0.0861794,0.109582
7,0.0884346,0.111319
7.26667,0.0954228,0.112025
7.4,0.0903231,0.113777
7.66667,0.0927891,0.114979
7.8,0.0926408,0.121155
8.06667,0.110683,0.133403
8.2,0.116013,0.142401
8.46667,0.121815,0.1518
8.6,0.124741,0.162191
8.86667,0.117246,0.16255
9,0.109965,0.147504
9.26667,0.0988759,0.143996
9.4,0.0974946,0.141308
9.66667,0.0813841,0.12448
9.8,0.0721602,0.1097
10.0667,0.0721641,0.0986886
10.2,0.0608683,0.083491
10.4667,0.0677316,0.0908381
10.6,0.0579263,0.0778334
10.8667,0.0627802,0.0850479
11,0.0587769,0.0725738
11.2667,0.0448201,0.0644268
11.4,0.0526043,0.076101
11.6667,0.040891,0.0683403
11.8,0.0362674,0.0708413
12.0667,0.019154,0.0522687
12.2,0.0229895,0.0440632
12.4667,0.0204455,0.0431151
12.6,0.0124468,0.0193374
12.8667,0.0104491,0.0256271
13,0.0105193,0.0158492
13.2667,0.0141831,0.0152327
13.4,0.00977405,0.0168246
13.6667,0.0017207,0.0102579
13.8,0.00785045,0.00893516
14.0667,0.00385109,0.00574737
14.2,0.00606342,0.0140621
14.4667,0.00740564,0.0102071
14.6,0,0.00820942
14.8667,0.00913805,0.0109563
15,0.00598538,0.00701936
15.2667,0.0058137,0.00728859
15.4,0.011046,0.0130087
15.6667,0.0142143,0.0200046
15.8,0.0202036,0.0232353
16.0667,0.0151507,0.024558
16.2,0.0135393,0.0182449
16.4667,0.0107963,0.0163837
16.6,0.0127433,0.0148581
16.8667,0.006875,0.00830306
17,0.00572786,0.00854107
17.2667,0.00768657,0.00857229
17.4,0.00703887,0.00674234
17.6667,0.00188458,0.00557179
17.8,0.00232158,0.00797921
18.0667,0.000901319,0.00956725
18.2,0,0.00830696
18.4667,0.0092434,0.0137188
18.6,0.00921609,0.00909903
18.8667,0.0184205,0.0194818
19,0.0213,0.0287564
19.2667,0.0292792,0.038308
19.4,0.0317374,0.0392718
19.6667,0.0312847,0.0370399
19.8,0.0360177,0.0437393
20.0667,0.0208825,0.0297006
20.2,0.0183034,0.0233797
20.4667,0.0113231,0.0176986
20.6,0.0120137,0.022494
20.8667,0.0192672,0.029845
21,0.0131959,0.0190018
21.2667,0.0112645,0.0153927
21.4,0.0105622,0.013711
21.6667,0.00857229,0.0135354
21.8,0.00213819,0.00592295
22.0667,0.00360138,0.00749148
22.2,0.00369502,0.00508016
22.4667,0.00546254,0.006239
22.6,0.00417884,0.00759293
22.8667,0.0102384,0.0135081
23,0.013274,0.017527
23.2667,0.0146201,0.0174918
23.4,0.0146279,0.0262436
23.6667,0.0191345,0.0221974
23.8,0.0208474,0.0243824
24.0667,0.0191579,0.023407
24.2,0.0196651,0.0217409
24.4667,0.0210542,0.022572
24.6,0.0217292,0.0228763
24.8667,0.022096,0.0233407
25,0.0216434,0.0249911
25.2667,0.0225642,0.0250262
25.4,0.0218931,0.0263958
25.6667,0.0205665,0.0232821
25.8,0.0215809,0.0270279
26.0667,0.0327167,0.0360216
26.2,0.0386397,0.0507821
26.4667,0.0388582,0.04848
26.6,0.0383978,0.0519683
26.8667,0.0420499,0.0520463
27,0.0395449,0.0506104
27.2667,0.0510591,0.0627607
27.4,0.0641341,0.084884
27.6667,0.0767526,0.091997
27.8,0.0821566,0.107491
28.0667,0.0948375,0.114585
28.2,0.104229,0.122759
28.4667,0.107382,0.135366
28.6,0.107312,0.137508
28.8667,0.117776,0.147141
29,0.118549,0.147773
29.2667,0.124109,0.151898
29.4,0.119825,0.155788
29.6667,0.124409,0.164824
29.8,0.114023,0.154485
30.0667,0.112961,0.155175
30.2,0.104198,0.154317
30.4667,0.0970225,0.153244
30.6,0.0843026,0.140407
30.8667,0.0723631,0.1297
31,0.0603143,0.109118
31.2667,0.0483123,0.0886765
31.4,0.0329586,0.0802837
31.6667,0.0226891,0.0619998
31.8,0.0114791,0.0520385
32.0667,0.0047407,0.0491941
32.2,0.00975454,0.0358577
32.4667,0.00323851,0.0187365
32.6,0.00188458,0.00422176
32.8667,0.00377305,0.00513869
33,0,0.00565373
33.2667,0,0.00229037
33.4,0,0
33.6667,0.0066565,0.0066565
33.8,0.0123805,0.0169105
34.0667,0.0246985,0.0291661
34.2,0.0301727,0.0391001
34.4667,0.0472081,0.0514376
34.6,0.0506143,0.0611141
34.8667,0.0597563,0.0678487
35,0.0626905,0.0721328
35.2667,0.0607591,0.0728976
35.4,0.0615199,0.0824453
35.6667,0.0717973,0.0829214
35.8,0.0736624,0.0949858
36.0667,0.0764248,0.0906509
36.2,0.073081,0.0929139
36.4667,0.0721797,0.0992544
36.6,0.0758903,0.0984662
36.8667,0.0657924,0.0962383
37,0.0583126,0.0794917
37.2667,0.0501032,0.0765926
37.4,0.0497169,0.0771974
37.6667,0.0363805,0.0653554
37.8,0.0285808,0.0619569
38.0667,0.0211127,0.0557257
38.2,0.0102813,0.0285691
38.4667,0.008822,0.0148386
38.6,0.0146864,0.0239103
38.8667,0.0208552,0.0276327
39,0.0289866,0.0374808
39.2667,0.0237191,0.0323304
39.4,0.0243278,0.0341955
39.6667,0.0368565,0.0470754
39.8,0.0285886,0.0386787
40.0667,0.036084,0.0412929
40.2,0.0396619,0.0452845
40.4667,0.0342696,0.039541
40.6,0.0413007,0.0537007
40.8667,0.0452025,0.0623783
41,0.048203,0.0660343
41.2667,0.0598929,0.0723553
41.4,0.0578717,0.0772676
41.6667,0.048921,0.0642161
41.8,0.0408871,0.059647
42.0667,0.0407037,0.0569275
42.2,0.0307697,0.0592647
42.4667,0.0316671,0.0561159
42.6,0.0289788,0.0436886
42.8667,0.0293416,0.0394512
43,0.0321588,0.0363961
43.2667,0.0313004,0.0356782
43.4,0.0281672,0.0389557
43.6667,0.0312145,0.0384914
43.8,0.0312496,0.0413631
44.0667,0.0317686,0.0431775
44.2,0.0316866,0.0459517
44.4667,0.0330015,0.0486907
44.6,0.036997,0.0573996
44.8667,0.0322992,0.0557374
45,0.0338131,0.0540245
45.2667,0.033142,0.0594598
45.4,0.0287876,0.0601933
45.6667,0.0285964,0.0597329
45.8,0.0186273,0.0564593
46.0667,0.0128136,0.0462755
46.2,0.0185726,0.0423542
46.4667,0.00931753,0.0397595
46.6,0.00786606,0.0302547
46.8667,0.00422176,0.0246985
47,0.00669551,0.0224745
47.2667,0.00401497,0.0197627
47.4,0.00625461,0.0161964
47.6667,0.0017207,0.0127433
47.8,0.0017207,0.0149986
48.0667,0.00204845,0.00836549
48.2,0.00205235,0.00689841
48.4667,0.00457683,0.00658626
48.6,0.0017207,0.00440905
48.8667,0.00587223,0.00612195
49,0.00354675,0.00267274
49.2667,0.00564593,0.00693743
49.4,0.00874787,0.00917317
49.6667,0.0027898,0.00493189
49.8,0.00724957,0.00921999
50.0667,0.00149049,0.00525965
50.2,0.00326972,0.00250106
50.4667,0.00270396,0.00487727
50.6,0,0.00206016
50.8667,0.00447538,0.00632874
51,0.00131101,0.00335166
51.2667,0,0.0017207
51.4,0.00180264,0.00250887
51.6667,0,0
51.8,0,0
52.0667,0.00196261,0.00457683
52.2,0.00380037,0.00913805
52.4667,0.00138514,0.0047251
52.6,0,0
52.8667,0,0
53,0.0017207,0
53.2667,0.00216161,0.00216161
53.4,0.00511918,0.00879469
53.6667,0.00972332,0.0100979
53.8,0.0128565,0.0185219
54.0667,0.00993012,0.0189082
54.2,0.00840841,0.0127355
54.4667,0.00393303,0.0125834
54.6,0,0.0159545
54.8667,0.00393693,0.012318
55,0.00808066,0.0113699
55.2667,0.00895466,0.0151703
55.4,0.011206,0.0150181
55.6667,0.00426078,0.0124429
55.8,0.0017207,0.00196651
56.0667,0.00241522,0.0114635
56.2,0.00196651,0.00248155
56.4667,0.0017207,0.00274688
56.6,0.0034414,0.00939947
56.8667,0,0
57,0.0017207,0.00615706
57.2667,0.00942678,0.0120176
57.4,0.00264543,0.00671893
57.6667,0.00180264,0.00417104
57.8,0.00909513,0.0150649
58.0667,0.00241132,0.00825234
58.2,0,0
58.4667,0.00319168,0.00755391
58.6,0.0017207,0.0221896
58.8667,0,0.00442466
59,0.00196651,0.00415933
59.2667,0.00448709,0.00935265
59.4,0.00524794,0.0109836
59.6667,0.00250497,0.00808456
59.8,0.00327752,0.00918877
60.0667,0.00213039,0.00419445
60.2,0,0.00180264
60.4667,0,0
60.6,0.00756562,0.0115299
60.8667,0.00711691,0.0119435
61,0.00655505,0.0179132
61.2667,0.00411251,0.01693
61.4,0,0
61.6667,0,0
61.8,0,0
62.0667,0.00102618,0.00284832
62.2,0,0
62.4667,0.00712471,0.0117367
62.6,0.0133793,0.0195793
62.8667,0.014027,0.0198212
63,0.00592295,0.0170314
63.2667,0.00213039,0.00591125
63.4,0.00188458,0.00230597
63.6667,0.00222013,0.00694913
63.8,0,0.0017207
64.0667,0,0.00188458
64.2,0,0
64.4667,0,0
64.6,0,0.0017207
64.8667,0.00252838,0.0114089
65,0.0045066,0.0139217
65.2667,0.0017207,0.0162042
65.4,0.0114791,0.0203402
65.6667,0.00552107,0.0244254
65.8,0,0.0121034
66.0667,0.00196651,0.00772169
66.2,0,0.00369502
66.4667,0.00336336,0.00484996
66.6,0.0028054,0.0108236
66.8667,0.00263373,0.00482654
67,0.00502554,0.00712081
67.2667,0,0
67.4,0.0289944,0.0302625
67.6667,0.00846304,0.0155526
67.8,0.00851376,0.015857
68.0667,0.00894296,0.0137578
68.2,0,0.00393693
68.4667,0.0139685,0.0148425
68.6,0.00180264,0.00784265
68.8667,0.0118732,0.0137968
69,0.0083928,0.0137266
69.2667,0.0017207,0.00289515
69.4,0.00461585,0.017843
69.6667,0,0.0144562
69.8,0,0.00856058
70.0667,0.0164344,0.0172148
70.2,0.00549766,0.00763585
70.4667,0.0148893,0.0171836
70.6,0.00353504,0.0121581
70.8667,0.00483825,0.0102774
71,0.00781143,0.0108666
71.2667,0.00861911,0.00883371
71.4,0.00421786,0.0109212
71.6667,0.00703887,0.0115806
71.8,0.00492409,0.00828745
72.0667,0.00511918,0.0107066
72.2,0.0045105,0.0122088
72.4667,0.0116157,0.0152132
72.6,0.00597758,0.0112879
72.8667,0.0113192,0.0119083
73,0.00712081,0.0104256
73.2667,0.0108236,0.0133403
73.4,0.00614926,0.0125755
73.6667,0.00405789,0.00612195
73.8,0.00311755,0.0066643
74.0667,0.0055991,0.00765926
74.2,0.00405789,0.00754221
74.4667,0.00482654,0.0060127
74.6,0.00305902,0.0121307
74.8667,0.0081626,0.0117835
75,0.013473,0.0196651
75.2667,0.0164501,0.0255413
75.4,0.016891,0.0319598
75.6667,0.0276483,0.0316203
75.8,0.0200592,0.0324358
76.0667,0.0188536,0.0209176
76.2,0.0211439,0.0259549
76.4667,0.0219867,0.0247765
76.6,0.0156853,0.0222325
76.8667,0.0209098,0.0257169
77,0.0118264,0.02281
77.2667,0.0237464,0.0286432
77.4,0.0189589,0.0235631
77.6667,0.0313238,0.0323382
77.8,0.0230675,0.0316008
