Time,Queue Density,Moving Density
0.8,0.165784,0.165784
1.53333,0.149198,0.140153
2.26667,0.16779,0.11993
3,0.184973,0.141367
3.73333,0.193702,0.129134
4.46667,0.206039,0.141172
5.2,0.210675,0.12366
5.93333,0.248003,0.119317
6.66667,0.282468,0.185648
7.4,0.277247,0.191649
8.13333,0.304494,0.209215
8.86667,0.319933,0.240317
9.6,0.337523,0.231409
10.3333,0.327729,0.198353
11.0667,0.311021,0.135783
11.8,0.299293,0.126169
12.5333,0.294603,0.101533
13.2667,0.292328,0.0706189
14,0.288457,0.0278316
14.7333,0.292324,0.0300245
15.4667,0.290771,0.0193257
16.2,0.290888,0.0376135
16.9333,0.289304,0.0209996
17.6667,0.29406,0.0147333
18.4,0.287575,0.0219126
19.1333,0.30314,0.0436496
19.8667,0.303963,0.0613482
20.6,0.284692,0.0588433
21.3333,0.293374,0.0532012
22.0667,0.289503,0.0330445
22.8,0.289624,0.0160833
23.5333,0.298774,0.0358694
24.2667,0.300736,0.0392523
25,0.301981,0.0365522
25.7333,0.298212,0.0390767
26.4667,0.322668,0.0691363
27.2,0.334842,0.100163
27.9333,0.385948,0.153049
28.6667,0.436266,0.205509
29.4,0.473778,0.232806
30.1333,0.493291,0.219992
30.8667,0.50351,0.2068
31.6,0.511579,0.219235
32.3333,0.515516,0.194763
33.0667,0.522913,0.128221
33.8,0.531177,0.0397985
34.5333,0.567886,0.0701976
35.2667,0.597313,0.116095
36,0.599783,0.148179
36.7333,0.592783,0.175695
37.4667,0.584504,0.145768
38.2,0.57819,0.207557
38.9333,0.590762,0.060841
39.6667,0.613412,0.0757693
40.4,0.630713,0.0750046
41.1333,0.664366,0.0994221
41.8667,0.684995,0.119829
42.6,0.6929,0.112396
43.3333,0.697738,0.0935382
44.0667,0.699888,0.0682193
44.8,0.712534,0.0836315
45.5333,0.710817,0.0964958
46.2667,0.708628,0.0923442
47,0.708074,0.0810914
47.7333,0.711629,0.0970654
48.4667,0.711999,0.0656246
49.2,0.716607,0.036638
49.9333,0.716923,0.01812
50.6667,0.713736,0.0110187
51.4,0.715593,0.0213195
52.1333,0.718258,0.018042
52.8667,0.708765,0.0132935
53.6,0.711831,0.0182566
54.3333,0.715402,0.0343672
55.0667,0.723408,0.0427951
55.8,0.718956,0.0259041
56.5333,0.726889,0.0214678
57.2667,0.720938,0.0237035
58,0.717899,0.0273946
58.7333,0.721641,0.0383548
59.4667,0.725262,0.0134418
60.2,0.72047,0.0221077
60.9333,0.71601,0.0169924
61.6667,0.709892,0.029369
62.4,0.718582,0.0058137
63.1333,0.726592,0.0247258
63.8667,0.727962,0.0176635
64.6,0.726955,0.0115143
65.3333,0.730853,0.0274181
66.0667,0.726112,0.0352646
66.8,0.726534,0.0213858
67.5333,0.724286,0.0376096
68.2667,0.722245,0.0255491
69,0.713396,0.01979
69.7333,0.718074,0.0308712
70.4667,0.714543,0.0283233
71.2,0.712179,0.0268523
71.9333,0.713568,0.0227515
72.6667,0.712557,0.0292168
73.4,0.718316,0.0226891
74.1333,0.716319,0.0242498
74.8667,0.715039,0.029962
75.6,0.71596,0.0484996
76.3333,0.718059,0.0494048
77.0667,0.711508,0.0430643
77.8,0.708999,0.0444651
78.5333,0.707621,0.037832
79.2667,0.711316,0.0299425
80,0.71061,0.0204884
80.7333,0.720681,0.0181005
81.4667,0.715,0.0119474
82.2,0.722206,0.0384329
82.9333,0.725433,0.0491629
83.6667,0.726299,0.0402316
84.4,0.725433,0.027262
85.1333,0.731465,0.0312301
85.8667,0.727142,0.0260641
86.6,0.727279,0.0383548
87.3333,0.728301,0.0467632
88.0667,0.720825,0.0367278
88.8,0.718109,0.015459
89.5333,0.721465,0.0369268
90.2667,0.7258,0.0524716
91,0.732874,0.0642434
91.7333,0.737708,0.0696903
92.4667,0.738383,0.0563305
93.2,0.730478,0.0450582
93.9333,0.726865,0.0437354
94.6667,0.727368,0.0802252
95.4,0.74756,0.179222
96.1333,0.773757,0.290155
96.8667,0.808429,0.41044
97.6,0.839659,0.467629
98.3333,0.855051,0.629577
99.0667,0.865387,0.694605
99.8,0.873737,0.719955
100.533,0.840388,0.73596
101.267,0.807223,0.738699
102,0.767101,0.721044
