Time,Queue Density,Moving Density
0.933333,0.180947,0.180947
1.8,0.153369,0.137851
2.66667,0.179936,0.13004
3.53333,0.18877,0.139451
4.4,0.205161,0.147134
5.26667,0.211065,0.125237
6.13333,0.259389,0.140754
7,0.28866,0.199874
7.86667,0.295305,0.236481
8.73333,0.317912,0.237234
9.6,0.337523,0.250469
10.4667,0.322754,0.200147
11.3333,0.305867,0.151535
12.2,0.297314,0.122735
13.0667,0.292921,0.084365
13.9333,0.288336,0.0318466
14.8,0.293256,0.0304185
15.6667,0.293003,0.0267821
16.5333,0.292047,0.0422567
17.4,0.293822,0.0174411
18.2667,0.28779,0.02416
19.1333,0.30314,0.0442349
20,0.2987,0.0594559
20.8667,0.295083,0.0708101
21.7333,0.287318,0.0507314
22.6,0.28827,0.0169183
23.4667,0.299203,0.0371375
24.3333,0.301415,0.041527
25.2,0.301602,0.0402823
26.0667,0.308017,0.0550156
26.9333,0.327222,0.0818796
27.8,0.379003,0.150856
28.6667,0.436266,0.225408
29.5333,0.47768,0.255471
30.4,0.499526,0.227039
31.2667,0.502655,0.217667
32.1333,0.513846,0.218974
33,0.522617,0.160657
33.8667,0.537491,0.0682349
34.7333,0.590969,0.0884736
35.6,0.597536,0.145795
36.4667,0.589389,0.188231
37.3333,0.586181,0.166506
38.2,0.57819,0.224249
39.0667,0.594481,0.0660655
39.9333,0.61651,0.073877
40.8,0.652013,0.0882903
41.6667,0.681741,0.116832
42.5333,0.694129,0.126754
43.4,0.698659,0.0994573
44.2667,0.703829,0.0807051
45.1333,0.715359,0.103293
46,0.710821,0.102146
46.8667,0.708952,0.0929451
47.7333,0.711629,0.104444
48.6,0.711882,0.0706658
49.4667,0.716818,0.0352373
50.3333,0.715558,0.0170548
51.2,0.711816,0.0176089
52.0667,0.716818,0.00526355
52.9333,0.708659,0.0114557
53.8,0.711363,0.0211244
54.6667,0.721524,0.044746
55.5333,0.723849,0.0363532
56.4,0.726264,0.0293182
57.2667,0.720938,0.0286744
58.1333,0.718016,0.0309804
59,0.723775,0.0360372
59.8667,0.720969,0.0301337
60.7333,0.720852,0.0206211
61.6,0.710794,0.0315306
62.4667,0.720548,0.0102501
63.3333,0.72454,0.0260446
64.2,0.72841,0.014546
65.0667,0.730252,0.0261461
65.9333,0.729479,0.0320027
66.8,0.726534,0.0250692
67.6667,0.724618,0.0402511
68.5333,0.720201,0.0246868
69.4,0.715948,0.0255179
70.2667,0.714539,0.0298255
71.1333,0.712596,0.0280853
72,0.710981,0.024359
72.8667,0.715628,0.0302079
73.7333,0.719038,0.0324631
74.6,0.713853,0.0310702
75.4667,0.715925,0.0411368
76.3333,0.718059,0.0525301
77.2,0.71212,0.0451206
78.0667,0.708058,0.0406296
78.9333,0.706903,0.0311599
79.8,0.710946,0.0287486
80.6667,0.714695,0.0213741
81.5333,0.716763,0.0128253
82.4,0.721219,0.0457215
83.2667,0.726947,0.0516015
84.1333,0.727552,0.0354636
85,0.730127,0.0275819
85.8667,0.727142,0.0338092
86.7333,0.728098,0.0405789
87.6,0.724949,0.0465526
88.4667,0.719729,0.0295172
89.3333,0.720724,0.0321236
90.2,0.723837,0.0540245
91.0667,0.733022,0.070658
91.9333,0.734969,0.0718597
92.8,0.73495,0.0567636
93.6667,0.728168,0.0518395
94.5333,0.728289,0.0689334
95.4,0.74756,0.189363
96.2667,0.779563,0.318482
97.1333,0.819299,0.439044
98,0.847896,0.561694
98.8667,0.867026,0.692795
99.7333,0.874373,0.738578
100.6,0.841965,0.761841
101.467,0.781202,0.762009
102.333,0.756027,0.743495
103.2,0.759945,0.741989
104.067,0.758228,0.758228
104.933,0.793149,0.793149
105.8,0.830587,0.830587
106.667,0.868146,0.868146
107.533,0.886235,0.886235
108.4,0.868325,0.868325
109.267,0.847935,0.847935
110.133,0.808874,0.808874
111,0.807375,0.807375
111.867,0.824227,0.824227
112.733,0.811843,0.811843
113.6,0.783164,0.783164
114.467,0.743444,0.743444
115.333,0.718562,0.718562
116.2,0.759297,0.759297
117.067,0.7317,0.7317
117.933,0.668373,0.668373
118.8,0.673059,0.673059
119.667,0.658006,0.658006
120.533,0.619483,0.619483
121.4,0.645282,0.645282
122.267,0.61324,0.61324
123.133,0.539847,0.539847
124,0.431986,0.431986
124.867,0.38651,0.38651
125.733,0.499569,0.499569
126.6,0.609592,0.609592
127.467,0.704644,0.704644
128.333,0.685873,0.685873
129.2,0.62001,0.62001
130.067,0.439208,0.439208
130.933,0.301279,0.301279
131.8,0.170287,0.170287
132.667,0.0467632,0.0467632
133.533,0.0540596,0.0450894
134.4,0.310116,0.310116
135.267,0.504992,0.504992
136.133,0.508894,0.508894
137,0.47505,0.47505
137.867,0.329442,0.329442
138.733,0.154161,0.154161
139.6,0.0636425,0.0636425
140.467,0.0988213,0.0908421
141.333,0.237113,0.22485
142.2,0.386268,0.356419
143.067,0.427951,0.427951
143.933,0.470902,0.470902
144.8,0.442208,0.442208
145.667,0.403803,0.403803
146.533,0.228572,0.228572
147.4,0.111171,0.111171
148.267,0.0416714,0.0416714
149.133,0.0431619,0.034574
150,0.0500135,0.0454093
150.867,0.0600723,0.0600723
151.733,0.12908,0.12908
152.6,0.239735,0.239735
153.467,0.299983,0.299983
154.333,0.280587,0.280587
155.2,0.224292,0.224292
156.067,0.141066,0.141066
156.933,0.100917,0.100917
157.8,0.082418,0.082418
158.667,0.0717973,0.0717973
159.533,0.145889,0.145889
160.4,0.218447,0.218447
161.267,0.19369,0.19369
162.133,0.107316,0.107316
163,0.0955672,0.0955672
163.867,0.170712,0.170712
164.733,0.155167,0.155167
165.6,0.0918721,0.0918721
166.467,0.0655115,0.0655115
167.333,0.0846265,0.0846265
168.2,0.157618,0.157618
169.067,0.249459,0.249459
169.933,0.281528,0.281528
170.8,0.208825,0.208825
171.667,0.072605,0.072605
172.533,0.00636776,0.00636776
173.4,0.0028054,0.0028054
174.267,0,0
175.133,0.00375355,0.00375355
176,0.0740955,0.0740955
176.867,0.299066,0.299066
177.733,0.472697,0.472697
178.6,0.460161,0.460161
179.467,0.354203,0.354203
180.333,0.248569,0.248569
181.2,0.14249,0.14249
182.067,0.126399,0.126399
182.933,0.181025,0.181025
183.8,0.229864,0.229864
184.667,0.258004,0.258004
185.533,0.223512,0.223512
186.4,0.204619,0.204619
187.267,0.203761,0.167919
