Time (in s),Queue Density,Dynamic Density
40.6667,0.645903,0.0555579
40.8667,0.658131,0.0622691
41.0667,0.662076,0.066007
41.2667,0.666477,0.0722577
41.4667,0.678857,0.0763078
41.6667,0.680157,0.0642395
41.8667,0.68304,0.0594559
42.0667,0.688713,0.056272
42.2667,0.690844,0.0593349
42.4667,0.691569,0.0563344
42.6667,0.690504,0.0436418
42.8667,0.690547,0.0384992
43.0667,0.691679,0.0366849
43.2667,0.694156,0.0357016
43.4667,0.698062,0.0388933
43.6667,0.698792,0.0384563
43.8667,0.69535,0.0413241
44.0667,0.697375,0.0432009
44.2667,0.70187,0.0459595
44.4667,0.70555,0.0487142
44.6667,0.709221,0.0573957
44.8667,0.712943,0.0559013
45.0667,0.713782,0.0540245
45.2667,0.713236,0.0595183
45.4667,0.710122,0.0604625
45.6667,0.709884,0.0600294
45.8667,0.708492,0.0565685
46.0667,0.709221,0.0475631
46.2667,0.708117,0.0428497
46.4667,0.706396,0.0406335
46.6667,0.706818,0.0303483
46.8667,0.706868,0.026505
47.0667,0.707356,0.0245034
47.2667,0.706841,0.0198915
47.4667,0.708394,0.0158687
47.6667,0.710122,0.0135939
47.8667,0.71235,0.0167193
48.0667,0.715031,0.00927852
48.2667,0.714922,0.00583321
48.4667,0.711984,0.00658626
48.6667,0.712737,0.00440905
48.8667,0.715593,0.00612195
49.0667,0.71475,0.00267274
49.2667,0.716861,0.00693743
49.4667,0.715386,0.00917707
49.6667,0.713634,0.00493189
49.8667,0.717477,0.00921609
50.0667,0.711644,0.00525574
50.2667,0.715023,0.00250106
50.4667,0.711976,0.00487727
50.6667,0.713131,0.00206016
50.8667,0.716342,0.00632874
51.0667,0.714208,0.00335166
51.2667,0.71175,0.0017207
51.4667,0.711059,0.00250887
51.6667,0.713263,0
51.8667,0.711055,0
52.0667,0.716334,0.00457683
52.2667,0.718363,0.00897808
52.4667,0.714461,0.00379647
52.6667,0.712034,0
52.8667,0.709061,0
53.0667,0.704925,0
53.2667,0.706287,0.00220843
53.4667,0.709756,0.00879469
53.6667,0.711285,0.0101018
53.8667,0.71079,0.0208201
54.0667,0.712011,0.0190057
54.2667,0.715367,0.0127316
54.4667,0.717001,0.0124
54.6667,0.722046,0.0168246
54.8667,0.721258,0.0123219
55.0667,0.723143,0.011284
55.2667,0.724665,0.0148815
55.4667,0.724668,0.0150805
55.6667,0.721637,0.0125365
55.8667,0.719307,0.00196651
56.0667,0.720213,0.0114635
56.2667,0.722,0.00239571
56.4667,0.724559,0.00274688
56.6667,0.724181,0.00939947
56.8667,0.721711,0
57.0667,0.722113,0.006239
57.2667,0.720634,0.0120176
57.4667,0.720849,0.00671893
57.6667,0.72333,0.00417104
57.8667,0.722839,0.0132193
58.0667,0.718102,0.00826795
58.2667,0.71747,0
58.4667,0.71763,0.00755391
58.6667,0.719463,0.0221779
58.8667,0.721488,0.00442466
59.0667,0.72372,0.00415933
59.2667,0.72324,0.00926291
59.4667,0.723346,0.0108978
59.6667,0.719783,0.00808456
59.8667,0.719023,0.00691011
60.0667,0.719241,0.00419445
60.2667,0.718944,0.00180264
60.4667,0.719479,0
60.6667,0.721266,0.011526
60.8667,0.719401,0.0119513
61.0667,0.718215,0.0178118
61.2667,0.714091,0.0171719
61.4667,0.713665,0
61.6667,0.71427,0
61.8667,0.714247,0
62.0667,0.711777,0.00284832
62.2667,0.712815,0
62.4667,0.716088,0.0116547
62.6667,0.721098,0.0194857
62.8667,0.72104,0.0198095
63.0667,0.723471,0.0169807
63.2667,0.725726,0.00574737
63.4667,0.724048,0.00238791
63.6667,0.723779,0.00534549
63.8667,0.725581,0.0017207
64.0667,0.723908,0.00188458
64.2667,0.726635,0
64.4667,0.726288,0
64.6667,0.727482,0.0017207
64.8667,0.730556,0.0105037
65.0667,0.732125,0.0120761
65.2667,0.728773,0.0162433
65.4667,0.727868,0.0202543
65.6667,0.729632,0.022451
65.8667,0.726549,0.0120488
66.0667,0.725461,0.00772169
66.2667,0.72667,0.00369112
66.4667,0.726514,0.00484996
66.6667,0.725917,0.0108236
66.8667,0.727493,0.00480704
67.0667,0.725297,0.00712081
67.2667,0.726857,0
67.4667,0.722878,0.0302118
67.6667,0.722854,0.0156463
67.8667,0.721816,0.0158531
68.0667,0.720525,0.0136759
68.2667,0.720614,0.00393693
68.4667,0.719331,0.0148815
68.6667,0.718106,0.00784265
68.8667,0.717657,0.0139022
69.0667,0.71276,0.0136446
69.2667,0.713349,0.0017207
69.4667,0.715487,0.0178508
69.6667,0.716268,0.0145382
69.8667,0.714465,0.00698815
70.0667,0.713299,0.0172148
70.2667,0.712924,0.00763585
70.4667,0.712467,0.0171797
70.6667,0.712346,0.0121581
70.8667,0.713404,0.0103827
71.0667,0.712881,0.00923169
71.2667,0.711906,0.00883371
71.4667,0.712858,0.0107534
71.6667,0.713501,0.0114986
71.8667,0.712577,0.00828355
72.0667,0.709248,0.0107066
72.2667,0.710462,0.0122166
72.4667,0.710719,0.0152366
